# wave rel_strength element
3682.48 0.074 12CH
3682.74 0.038 Fe
3683.00 0.011 Co
3683.05 0.062 Fe
3683.12 0.015 V
3683.61 0.131 Fe
3684.12 0.113 Fe
3684.48 0.016 Co
3685.10 0.122 Ti
3685.28 0.122 Ti
3685.50 0.025 Fe
3686.00 0.100 Fe
3686.26 0.144 Fe
3686.62 0.011 Fe
3687.10 0.148 Fe
3687.38 0.124 Fe
3687.55 0.128 Fe
3687.60 0.044 12CH
3687.65 0.144 Fe
3687.87 0.048 12CH
3688.07 0.046 V
3688.41 0.104 Ni
3688.47 0.099 Fe
3688.80 0.132 Fe
3689.02 0.023 Fe
3689.40 0.137 Fe
3689.89 0.048 Fe
3689.92 0.071 Ti
3690.28 0.036 V
3690.45 0.119 Fe
3690.73 0.135 Fe
3692.22 0.058 V
3693.03 0.097 Fe
3693.11 0.047 Co
3693.39 0.051 12CH
3693.47 0.041 Co
3693.78 0.040 Fe
3693.93 0.127 Ni
3694.02 0.090 Fe
3694.44 0.013 Ti
3695.05 0.089 Fe
3695.52 0.028 Fe
3695.86 0.048 V
3696.36 0.027 Ti
3696.65 0.015 Ni
3697.42 0.099 Fe
3697.45 0.013 Zr
3698.05 0.111 Fe
3698.15 0.098 Zr
3698.47 0.045 12CH
3698.60 0.114 Fe
3698.69 0.047 12CH
3699.14 0.131 Fe
3699.82 0.014 Fe
3700.34 0.024 V
3701.08 0.089 Fe
3701.13 0.019 Ni
3702.03 0.144 Fe
3702.24 0.041 Co
3702.29 0.015 Ti
3702.49 0.126 Fe
3703.68 0.137 Fe
3703.81 0.093 Fe
3704.01 0.027 Fe
3704.06 0.174 Co
3704.29 0.017 Ti
3704.46 0.106 Fe
3704.70 0.072 V
3705.03 0.032 V
3705.47 0.156 Fe
3705.67 0.184 Fe
3705.84 0.018 12CH
3705.98 0.083 Ca
3706.07 0.083 Ca
3706.14 0.019 Fe
3706.22 0.112 Ti
3707.04 0.099 Fe
3707.47 0.128 Fe
3707.55 0.122 Fe
3707.89 0.098 Fe
3708.60 0.088 Fe
3708.82 0.067 Co
3709.16 0.144 Fe
3709.33 0.143 Fe
3709.53 0.159 Fe
3709.66 0.136 Fe
3709.96 0.040 Ti
3710.29 0.095 Y
3710.44 0.045 12CH
3710.65 0.038 12CH
3711.23 0.143 Fe
3711.41 0.138 Fe
3712.94 0.105 Cr
3713.34 0.017 Ni
3713.70 0.040 Ni
3714.79 0.069 Zr
3715.17 0.034 Cr
3715.46 0.148 V
3715.91 0.142 Fe
3716.44 0.109 Fe
3717.19 0.013 Fe
3717.39 0.117 Ti
3717.83 0.018 Fe
3718.15 0.028 V
3718.41 0.149 Fe
3718.83 0.021 Zr
3719.75 0.261 Fe
3720.12 0.260 Fe
3721.25 0.138 Fe
3721.40 0.157 Fe
3721.49 0.155 Fe
3721.66 0.061 Ti
3721.94 0.051 Fe
3722.41 0.077 Fe
3722.47 0.045 Ni
3722.66 0.155 Fe
3723.60 0.057 Ti
3723.67 0.039 12CH
3723.84 0.025 12CH
3724.00 0.027 Fe
3724.08 0.082 Ti
3724.38 0.092 Fe
3724.57 0.063 Ti
3724.81 0.013 Ni
3725.15 0.059 Ti
3725.49 0.087 Fe
3725.64 0.017 Fe
3726.91 0.142 Fe
3727.09 0.137 Fe
3727.34 0.137 V
3727.53 0.142 Fe
3727.79 0.177 Fe
3728.02 0.028 Ru
3728.04 0.028 Fe
3728.34 0.019 V
3728.67 0.141 Fe
3728.97 0.024 Fe
3729.71 0.026 Zr
3729.81 0.126 Ti
3730.41 0.180 Fe
3730.49 0.052 Co
3730.61 0.011 Ca
3730.75 0.061 Ni
3730.80 0.032 Cr
3730.95 0.147 Fe
3731.26 0.027 Zr
3731.37 0.145 Fe
3732.03 0.047 Cr
3732.39 0.068 Fe
3732.43 0.011 Co
3732.64 0.016 Fe
3732.75 0.143 V
3733.21 0.197 Fe
3733.41 0.138 Fe
3733.49 0.060 Co
3734.07 0.031 Fe
3734.14 0.018 Co
3734.70 0.223 Fe
3735.04 0.249 Fe
3735.28 0.146 Fe
3735.93 0.035 Co
3736.70 0.075 Fe
3736.80 0.081 Ni
3736.89 0.045 Ca
3737.01 0.169 Fe
3737.29 0.248 Fe
3738.12 0.010 Zr
3738.28 0.027 12CH
3738.30 0.114 Fe
3738.36 0.019 Cr
3738.50 0.039 Fe
3739.12 0.112 Fe
3739.23 0.130 Ni
3739.31 0.126 Fe
3739.52 0.146 Fe
3739.78 0.015 Ni
3740.06 0.024 Fe
3740.24 0.147 Fe
3741.06 0.117 Ti
3741.53 0.030 Fe
3741.64 0.087 Ti
3742.14 0.055 Fe
3742.60 0.187 Fe
3742.95 0.032 Fe
3743.28 0.121 Fe
3743.46 0.172 Fe
3743.57 0.019 Cr
3743.60 0.024 V
3743.78 0.064 Fe
3743.88 0.032 Cr
3744.10 0.149 Fe
3744.56 0.026 Ni
3744.57 0.015 Fe
3745.40 0.195 Fe
3745.69 0.239 Fe
3745.80 0.066 V
3746.00 0.153 Fe
3746.22 0.066 Fe
3746.49 0.130 Fe
3746.95 0.166 Fe
3747.47 0.015 Fe
3747.55 0.103 Y
3748.00 0.088 Ti
3748.15 0.197 Fe
3748.38 0.196 Fe
3748.66 0.014 Cr
3748.95 0.142 Fe
3749.04 0.118 Ni
3749.34 0.238 Fe
3749.63 0.226 Fe
3749.93 0.023 Co
3750.42 0.013 Fe
3750.64 0.022 Zr
3750.68 0.041 Fe
3750.87 0.120 V
3751.09 0.049 Fe
3751.23 0.010 V
3751.61 0.110 Zr
3751.82 0.073 Fe
3752.41 0.146 Fe
3752.86 0.101 Ti
3752.99 0.014 Fe
3753.14 0.061 Fe
3753.34 0.020 Ca
3753.59 0.069 Fe
3753.66 0.030 Ti
3754.50 0.113 Fe
3754.57 0.014 Cr
3754.65 0.060 Fe
3755.45 0.029 Co
3756.07 0.138 Fe
3756.94 0.143 Fe
